week,category,weekly_rank,show_title,weekly_views,keywords,title_image_url
2025-02-09,Films (Non-English),1,Bogotá: City of the Lost,13000000.0,"bogotá, 1990s, colombia, bogota, colombia, suspense, foreign country, legal immigrant",https://image.tmdb.org/t/p/w500/p1WPGGPVHHVJwTjmUaCsbTNATgn.jpg
2025-02-09,Films (Non-English),2,Lucca's World,9400000.0,,https://image.tmdb.org/t/p/w500/fX3Q5hxUAUs1k8JQkNTwFpBd6BC.jpg
2025-02-09,Films (Non-English),3,Pushpa 2: The Rule (Reloaded Version),3600000.0,,
2025-02-09,Films (Non-English),4,Death Whisperer 2,2800000.0,exorcism,https://image.tmdb.org/t/p/w500/uDW5eeFUYp1vaU2ymEdVBG6g7iq.jpg
2025-02-09,Films (Non-English),5,Sumala,1800000.0,"based on novel or book, haunting, devil, ghost, child, terror, twin, based on twitter thread",https://image.tmdb.org/t/p/w500/poWfzIn8bBh21wR3oGA8Oqmq4ie.jpg
2025-02-09,Films (Non-English),6,Ad Vitam,1500000.0,ambivalent,https://image.tmdb.org/t/p/w500/xqBSapk1nC35WlZ6PraMjOVMQBy.jpg
2025-02-09,Films (Non-English),7,Faceless,1200000.0,"sadism, kidnapping, remake, hospital, death, surgery",https://image.tmdb.org/t/p/w500/hsYqZzbO3R493ysHv1Ki961Bu1o.jpg
2025-02-09,Films (Non-English),8,Ballot,1000000.0,"iran, minimalism",https://image.tmdb.org/t/p/w500/nirVNVYtwxG3wkH7klpEYDq0Gvb.jpg
2025-02-09,Films (Non-English),9,Under Paris,1000000.0,"paris, france, catacombs, triathlon, shark, environmental change , sonar",https://image.tmdb.org/t/p/w500/qZPLK5ktRKa3CL4sKRZtj8UlPYc.jpg
2025-02-09,Films (Non-English),10,The Wages of Fear,800000.0,"based on novel or book, nitroglycerin, remake",https://image.tmdb.org/t/p/w500/jFK2ZLQUzo9pea0jfMCHDfvWsx7.jpg
2025-02-09,TV (English),1,The Night Agent,7500000.0,,
2025-02-09,TV (English),2,The Recruit,6100000.0,"central intelligence agency (cia), washington dc, usa, spy, recruit, training, surveillance, extramarital affair, aggressive, intense",https://image.tmdb.org/t/p/w500/zd9eNagUB7FEaqffnSw3n3Nii4p.jpg
2025-02-09,TV (English),3,American Manhunt: O.J. Simpson,4500000.0,,
2025-02-09,TV (English),4,Sweet Magnolias,4000000.0,,
2025-02-09,TV (English),5,Apple Cider Vinegar,3800000.0,,https://image.tmdb.org/t/p/w500/bYVfej0h892bkTVFiaBxxbBYbbO.jpg
2025-02-09,TV (English),7,Raw,3100000.0,"obsessive compulsive disorder (ocd), woman director, raw food, short film",https://image.tmdb.org/t/p/w500/cUUAja9LsvYw4pFPjKe7Bu67VV0.jpg
2025-02-09,TV (English),8,Ms. Rachel,3000000.0,,
2025-02-09,TV (English),10,Ghosts,2200000.0,"musical, music video, pop music",https://image.tmdb.org/t/p/w500/aLMS2GWnJwkAADd8Dnl2dK1eg13.jpg
2025-02-09,TV (Non-English),1,The Åre Murders,8800000.0,,
2025-02-09,TV (Non-English),2,The Trauma Code: Heroes on Call,5400000.0,,
2025-02-09,TV (Non-English),3,Prison Cell 211,5300000.0,,
2025-02-09,TV (Non-English),4,Sintonia,4900000.0,car radio,
2025-02-09,TV (Non-English),5,Cassandra,4200000.0,"farm, serial killer, twisted memories, drawing, policewoman, short film",https://image.tmdb.org/t/p/w500/eNYXFe5G3YjQTxKh2IBM8KqGSa9.jpg
2025-02-09,TV (Non-English),6,SAKAMOTO DAYS,3800000.0,,https://image.tmdb.org/t/p/w500/uSqc1QELEalFBqwupCsPGUGY5PH.jpg
2025-02-09,TV (Non-English),7,Squid Game,3600000.0,"fireplace, yule log",https://image.tmdb.org/t/p/w500/wzWcY5MMJaezP4niGmmpdvluvaZ.jpg
2025-02-09,TV (Non-English),8,Envious,3300000.0,,
2025-02-09,TV (Non-English),9,The Snow Girl,2700000.0,"elves, black magic, love, battle, evil plot",https://image.tmdb.org/t/p/w500/q6UYtxTxpN68PCzjQ86cVX8t8CL.jpg
2025-02-09,TV (Non-English),10,Wrong Side of the Tracks,2500000.0,,https://image.tmdb.org/t/p/w500/zfWKbA6NFOHcAqqrVWNSDvpG3MP.jpg
2025-02-02,Films (English),3,Under the Boardwalk,5800000.0,"musical, hermit crab",https://image.tmdb.org/t/p/w500/dYubl9T67KKgggQUawHs0xYMWEU.jpg
2025-02-02,Films (English),5,The Lovely Bones,3300000.0,"rape, based on novel or book, afterlife, loss of loved one, tree, 1970s, serial killer, corpse, pedophile, teenage love, grieving, childhood sexual abuse, based on young adult novel",https://image.tmdb.org/t/p/w500/sn0iDphRxQ7I6aLd9igIgACITak.jpg
2025-02-02,Films (English),6,The Secret Life of Pets,3200000.0,"bunny, pet, anthropomorphism, dog, animals, apartment building, sewer, terrier, manhattan, new york city, rodent, pets, mongrel, illumination",https://image.tmdb.org/t/p/w500/5f8rTQq42nQVGGes9SCV9AnD0II.jpg
2025-02-02,Films (English),8,Scream VI,2200000.0,"mask, new york city, trauma, halloween, college, fake identity, sequel, conspiracy theory, revenge, public murder, murder, social commentary, serial killer, police corruption, slasher, whodunit, multiple stabbings, brutality, killing spree, self-referential, crime spree, aftercreditsstinger, movie fan, copycat killer, satirical, generation z, fbi agent, irreverent, familiar, ridiculous",https://image.tmdb.org/t/p/w500/wDWwtvkRRlgTiUr6TyLSMX8FCuZ.jpg
2025-02-02,Films (English),9,Minions: The Rise of Gru,2200000.0,"1970s, villain, sequel, spin off, duringcreditsstinger, supervillain, illumination, gentleminions",https://image.tmdb.org/t/p/w500/wKiOkZTN9lUUUNZLmtnwubZYONg.jpg
2025-02-02,Films (English),10,Carry-On,2100000.0,"blackmail, flight, los angeles, california, christmas eve, los angeles airport (lax), derogatory",https://image.tmdb.org/t/p/w500/sjMN7DRi4sGiledsmllEw5HJjPy.jpg
2025-02-02,Films (Non-English),3,The Sand Castle,4900000.0,"middle east, sibling relationship, lighthouse, matter of life and death, affection, love, struggle for survival, family in peril, allegorical, mysterious events",https://image.tmdb.org/t/p/w500/paesE1W2WFqJEBNMFUszFVcuDsW.jpg
2025-02-02,Films (Non-English),5,"I, the Executioner",2600000.0,"sequel, police chase",https://image.tmdb.org/t/p/w500/gAtP0usArK5gVOBObnsENKLwML8.jpg
2025-02-02,Films (Non-English),6,Tout le bleu du ciel,1600000.0,,
2025-02-02,Films (Non-English),7,Chantal im Märchenland,1600000.0,"fairy tale, vulgar, social media influencer, lighthearted, absurd, sympathetic",https://image.tmdb.org/t/p/w500/z9KCiGL6HdwWztnlywUOIjiaz6n.jpg
2025-02-02,Films (Non-English),9,Amazon Bullseye,1400000.0,"archery, amazon tribe",https://image.tmdb.org/t/p/w500/fCjySaFZBQASHASRAQFbe7XrJKz.jpg
2025-02-02,TV (English),6,American Primeval,3700000.0,,
2025-02-02,TV (English),7,"XO, Kitty",3700000.0,,
2025-02-02,TV (English),10,Royal Rumble,2100000.0,"wwe, wwe ppv",https://image.tmdb.org/t/p/w500/qteliXkCba0Qko6YpvgMCGm2OYA.jpg
2025-02-02,TV (Non-English),4,The Hooligan,3600000.0,"hooligan, hooliganism",https://image.tmdb.org/t/p/w500/3KjrgwU3ylj71iokFo7YJ4qNXbn.jpg
2025-02-02,TV (Non-English),6,Single’s Inferno,2000000.0,,
2025-02-02,TV (Non-English),7,The Seven Deadly Sins: Four Knights of the Apocalypse,2000000.0,,
2025-02-02,TV (Non-English),9,Fake Profile,1800000.0,,
2025-02-02,TV (Non-English),10,The Breakthrough,1700000.0,,https://image.tmdb.org/t/p/w500/jwBlwYHgRGzlInQRUaf9yfe9vZq.jpg
2025-01-26,Films (English),4,Father Stu,3600000.0,based on true story,https://image.tmdb.org/t/p/w500/pLAeWgqXbTeJ2gQtNvRmdIncYsk.jpg
2025-01-26,Films (English),5,You Gotta Believe,3300000.0,"sports, baseball, based on true story, little league, historical drama, 2000s, independent film",https://image.tmdb.org/t/p/w500/l4X9SeMFCv414BCt97IBgzYX7JC.jpg
2025-01-26,Films (English),6,To All the Boys I’ve Loved Before,3100000.0,"high school, based on novel or book, love letter, romance, first love, lost mother, woman director, sisterhood, pretend relationship, based on young adult novel, asian american",https://image.tmdb.org/t/p/w500/hKHZhUbIyUAjcSrqJThFGYIR6kI.jpg
2025-01-26,Films (English),8,Despicable Me 2,2800000.0,"parent child relationship, villain, adoptive father, secret agent, bakery, sequel, falling in love, family, single father, audition, female agent, duringcreditsstinger, first date, supervillain, masked supervillain, illumination, absurd, hilarious, amused, brisk",https://image.tmdb.org/t/p/w500/xL6t0Fo38DjiiuNLVSj58xJWNJy.jpg
2025-01-26,Films (English),10,Knight and Day,2600000.0,"central intelligence agency (cia), airport, inventor, kidnapping, boston, massachusetts, spy, traitor, invention, protection, betrayal, on the run, fish out of water, train, attraction, boy genius, drugged, tropical island, crash landing, airplane trip, duringcreditsstinger, motorcycle chase, seville, spain, unassuming, action comedy, lighthearted, sister's wedding, rogue spy, salzburg, austria",https://image.tmdb.org/t/p/w500/phhp52CZZJiGYmiOTp9ZBDkGHB3.jpg
2025-01-26,Films (Non-English),3,Super Crazy,3000000.0,remake,https://image.tmdb.org/t/p/w500/xKT9Mv1SB7pW9TLOcmhcm9BH4Pc.jpg
2025-01-26,Films (Non-English),4,Kingdom: Return of The Great General,1300000.0,,https://image.tmdb.org/t/p/w500/qZKKwXyZ92K0mIRpf2FbCkQa7oO.jpg
2025-01-26,Films (Non-English),5,Number 24,1200000.0,"world war ii, norway, understated",https://image.tmdb.org/t/p/w500/rzsmKSFEsEWBLbJ968abffnfYZ7.jpg
2025-01-26,Films (Non-English),6,The Children's Train,1200000.0,"based on novel or book, poverty, 1940s, impoverished, post-war italy",https://image.tmdb.org/t/p/w500/kfQvaLi9P5JdyWjz0b5IhIjLCu1.jpg
2025-01-26,Films (Non-English),8,Rifle Club,900000.0,,https://image.tmdb.org/t/p/w500/k1czxgmnH63A7old7hL4oNzqYMw.jpg
2025-01-26,Films (Non-English),10,Family Pack,700000.0,"magic, board game, werewolf, based on card game, amused, exhilarated",https://image.tmdb.org/t/p/w500/nKDH9pjh1fkBcb3PNouQ0qmN6cW.jpg
2025-01-26,TV (English),6,Missing You,3200000.0,"revenge, serial killer",https://image.tmdb.org/t/p/w500/35nNArRlsLCN7dYihQdl83IRDzD.jpg
2025-01-26,TV (English),8,W.A.G.s to Riches,2300000.0,,
2025-01-26,TV (English),9,Castlevania: Nocturne,1900000.0,,
2025-01-26,TV (Non-English),9,Alpha Males,1500000.0,,https://image.tmdb.org/t/p/w500/cJRjyj9OqhM1ArX96Uos9NCJqzU.jpg
2025-01-26,TV (Non-English),10,My Happy Marriage,1500000.0,"based on novel or book, romance, domestic abuse, historical fiction, unfortunate, fantasy, negligent parent",https://image.tmdb.org/t/p/w500/7zCBnKErHlERF2TY1SrTgZjmfBb.jpg
2025-01-19,Films (English),7,Ma,3200000.0,"casino, kidnapping, psychopath, underage drinking, revenge, murder, slasher, psychological thriller, stabbing, veterinary, mental illness, loner, school loner, hanging out, munchausen syndrome by proxy",https://image.tmdb.org/t/p/w500/6n7ASmQ1wY2cxTubFFGlcvPpyk7.jpg
2025-01-19,Films (English),8,Sonic the Hedgehog,2700000.0,"moon, sequel, based on video game, burlesque, dual role, aftercreditsstinger, duringcreditsstinger, hedgehog, live action and animation, grandfather grandson relationship, animal human friendship, anthropomorphic animal, loss and grief, amused, cliché, complicated, joyful, sceptical, sonic cinematic universe, sonic adventure 2",https://image.tmdb.org/t/p/w500/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg
2025-01-19,Films (English),9,Despicable Me,2700000.0,"superhero, villain, sequel, super villain, aftercreditsstinger, duringcreditsstinger, calm, illumination, kids",https://image.tmdb.org/t/p/w500/wWba3TaojhK7NdycRhoQpsG0FaH.jpg
2025-01-19,Films (English),10,Eye for an Eye,2400000.0,admiring,https://image.tmdb.org/t/p/w500/mkfznkTshGBp88SFQQAGsr3R62z.jpg
2025-01-19,Films (Non-English),2,The Love Scam,2400000.0,"con man, love story, emotional, romantic, goofy",https://image.tmdb.org/t/p/w500/kWBjdB6tP71ed4WTFxuqDZnWVk5.jpg
2025-01-19,Films (Non-English),7,Laura,1000000.0,"jealousy, obsession, advertising expert, shotgun, detective, investigation, mistaken identity, romance, film noir, murder, whodunit, black and white, investigator, intrigue, portrait, police investigation, mysterious, murder mystery, murder suspect, 1940s, other woman, suspense",https://image.tmdb.org/t/p/w500/j0zEiFFrdbZnMXqD3piOtZBJeNB.jpg
2025-01-19,TV (English),5,"Jerry Springer: Fights, Camera, Action",3500000.0,"talk show, american, tv production, talk show host, daytime talk show, chat show",https://image.tmdb.org/t/p/w500/h75tRxFKEfHIRbOXhS5pjZ2FBPp.jpg
2025-01-19,TV (English),8,The Walking Dead: The Ones Who Live,2300000.0,,
2025-01-19,TV (English),9,I AM A KILLER,2300000.0,"high school, based on novel or book, winter, psychopath, minnesota, supernatural, thanksgiving, halloween, gore, murder, stalking, serial killer, snow, midwest, troubled teen, tracking device, gps, embalming, christmas, holidays",https://image.tmdb.org/t/p/w500/KXLopjRCCGRaKPMUndVoT9zKsl.jpg
2025-01-19,TV (Non-English),9,Subteran,2500000.0,,https://image.tmdb.org/t/p/w500/sU2ls1V0njn9EpKM2CrGdYM6p0H.jpg
2025-01-19,TV (Non-English),10,Black Warrant,2300000.0,"assassin, mexico, usa–mexico border, power outage, dea agent, military weapons, assassination plan, special ops, cyber terrorism, retired assassin",https://image.tmdb.org/t/p/w500/A7vFFZHbDyxfjuYKzJwruTnwwjT.jpg
2025-01-12,Films (English),6,Wallace & Gromit: Vengeance Most Fowl,4600000.0,"inventor, human animal relationship, penguin, anthropomorphism, revenge, stop motion, robot, dog, jewel heist, gnome",https://image.tmdb.org/t/p/w500/6BxK38ehxuX2dJmZIMpJcVNbYks.jpg
2025-01-12,Films (English),9,The Six Triple Eight,4000000.0,"world war ii, based on true story, historical, military, based on magazine, newspaper or article, african american history, war, heartfelt",https://image.tmdb.org/t/p/w500/7tvAnzZj9e9AjdoHaN9jshm2Cjw.jpg
2025-01-12,Films (Non-English),4,"Umjolo: My Beginning, My End!",1500000.0,,https://image.tmdb.org/t/p/w500/nSE7PLJoYsclxgmF9mSVnHBPy9C.jpg
2025-01-12,Films (Non-English),6,Bhool Bhulaiyaa 3,1400000.0,"haunted house, sequel, vengeful spirit, west bengal, horror comedy",https://image.tmdb.org/t/p/w500/3AfHD1HoaQpQwKH8kxRdBKVmzeU.jpg
2025-01-12,Films (Non-English),8,Hopeless,900000.0,,
2025-01-12,Films (Non-English),10,The Paradise of Thorns,800000.0,"farm, labor, inheritance fight, lgbt, angry, aggressive, fruit, town, anxious, gay theme, durian, boys' love (bl), gay couple, antagonistic, sympathetic",https://image.tmdb.org/t/p/w500/eR63Z8mFuhxLDFf9XCyKVFEIUsF.jpg
2025-01-12,TV (English),5,Departure,3600000.0,,https://image.tmdb.org/t/p/w500/6TZ4H3iOHcpWr9zmClps3jZGhQV.jpg
2025-01-12,TV (English),6,Virgin River,3100000.0,,https://image.tmdb.org/t/p/w500/u1eWBgNMDrzWsFk2PuVdD0H3yzx.jpg
2025-01-12,TV (English),7,Gabriel Iglesias: Legend of Fluffy,2900000.0,stand-up comedy,https://image.tmdb.org/t/p/w500/hgOAwoJv2l8HF22lidIslOp2Nhf.jpg
2025-01-12,TV (English),8,Black Doves,2800000.0,lost film,
2025-01-12,TV (Non-English),6,La Palma,3600000.0,,https://image.tmdb.org/t/p/w500/jYhnCRDHlLRMvzoULEPTx6FCXZE.jpg
2025-01-12,TV (Non-English),7,When the Phone Rings,2900000.0,,https://image.tmdb.org/t/p/w500/i8lAoLHkWGWuo9DiGywzWLJwIUA.jpg
2025-01-12,TV (Non-English),8,When the Stars Gossip,2400000.0,,
2025-01-12,TV (Non-English),9,Hound's Hill,2400000.0,,
2025-01-12,TV (Non-English),10,Dubai Bling,2400000.0,,
2025-01-05,Films (English),4,Dr. Seuss' The Grinch,5400000.0,stage musical,https://image.tmdb.org/t/p/w500/rHJlD4ElNBZmejPATAjkuLUooSB.jpg
2025-01-05,Films (English),5,Avicii - I'm Tim,5200000.0,"biography, archive footage, inspiring story, dj, inspiring, portrait of an artist, music documentary, inspirational, concert footage",https://image.tmdb.org/t/p/w500/3bd7DjmxGEUk4l9yesOcyzV7A8.jpg
2025-01-05,Films (English),6,Non-Stop,4200000.0,"airplane, fight, airplane hijacking, conspiracy, airplane crash, theft, cell phone, hijack, transatlantic, one night, mystery killer, flight attendant",https://image.tmdb.org/t/p/w500/Nkgaj3X0W2jHQ1TzHEgWFpN3kJ.jpg
2025-01-05,Films (English),7,Horizon: An American Saga: Chapter 1,4000000.0,"montana, indigenous, brothel, new mexico, american civil war, post civil war, american west, 19th century, manifest destiny, america, dreary, 1860s, historical epic, 1850s, absurd, arrogant, cliché, disrespectful",https://image.tmdb.org/t/p/w500/hqDkO0W9uk4aiwzn3pTeLO7NPZD.jpg
2025-01-05,Films (English),8,That Christmas,3800000.0,"holiday, santa claus, affectation, christmas, adoring",https://image.tmdb.org/t/p/w500/sx86KHWwWbW5ZckPEQh39J0Fio3.jpg
2025-01-05,Films (English),9,Furiosa: A Mad Max Saga,3800000.0,"post-apocalyptic future, prequel, spin off, struggle for survival, tyranny, masculinity, grim, revenge murderer, mother daughter relationship, child abduction, post-apocalyptic, amused, brisk, film in chapters",https://image.tmdb.org/t/p/w500/iADOJ8Zymht2JPMoy3R7xceZprc.jpg
2025-01-05,Films (English),10,In the Heart of the Sea,3700000.0,"sea, suicide, ship, ocean, whale, shipwreck, hunger, based on true story, survival, stranded, cannibal, whaling, death, new england, lost at sea, whaling ship, starvation, 19th century, whale oil, nantucket",https://image.tmdb.org/t/p/w500/weVvNPfk6FM9vBg3BXtRtNAmiYM.jpg
2025-01-05,Films (Non-English),5,Kang Mak from Pee Mak,1700000.0,"baby, joke, haunting, love, remake, battlefield, soldier, demon, commando, couple, military, ghost, haunted, terror",https://image.tmdb.org/t/p/w500/h2k58PFM2dQsHXNxb2D471r3BJp.jpg
2025-01-05,Films (Non-English),6,Ferry 2,1300000.0,"sequel, conscience, based on tv series",https://image.tmdb.org/t/p/w500/8pwdnL3pEISIN1EGmwZzU6hpNVk.jpg
2025-01-05,Films (Non-English),9,Lucky Baskhar,1000000.0,"money laundering, anti hero, bank employee, investment",https://image.tmdb.org/t/p/w500/a47JQFl9L7VDa79tEvnTOJe0rPa.jpg
2025-01-05,Films (Non-English),10,Jigra,900000.0,depressing,https://image.tmdb.org/t/p/w500/mhnT27mgtiMNowOhAlMWSqBoSyb.jpg
2025-01-05,TV (English),5,The Madness,2800000.0,"magic, superhero, based on comic, alternative reality, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",https://image.tmdb.org/t/p/w500/ddJcSKbcp4rKZTmuyWaMhuwcfMz.jpg
2025-01-05,TV (English),6,"Your Friend, Nate Bargatze",2500000.0,"stand-up comedy, deadpan",https://image.tmdb.org/t/p/w500/p0NK3bXt5AC6cL3R57DdWLFMGYH.jpg
2025-01-05,TV (English),7,No Good Deed,2300000.0,"prisoner, hostage, sadistic, girlfriend, escaped convict, sociopath, serial killer, best friend, murderer, rage, killer, rainstorm, home alone, narcissist, deadly, escaped killer, convicted murderer, murderous intentions, stay-at-home mom, home remodeling, controlling",https://image.tmdb.org/t/p/w500/wcDLqCS70LsPcovieuQrb311Qr1.jpg
2025-01-05,TV (English),8,Torching 2024: A Roast of the Year,2100000.0,"stand-up comedy, stand-up",https://image.tmdb.org/t/p/w500/hivi6Swn1UINO3xYGzNhAFx6Dkv.jpg
2025-01-05,TV (Non-English),5,Stranded with my Mother-in-Law,1600000.0,,
2025-01-05,TV (Non-English),6,The Manny,1500000.0,,https://image.tmdb.org/t/p/w500/f5nKZ0WOIYfTuZWAG6VyGfXgHzX.jpg
2025-01-05,TV (Non-English),7,One Hundred Years of Solitude,1400000.0,,
2025-01-05,TV (Non-English),8,SPY x FAMILY,1400000.0,"espionage, spy, female assassin, based on manga, family, aftercreditsstinger, shounen, anime",https://image.tmdb.org/t/p/w500/xlIQf4y9eB14iYzNN142tROIWON.jpg
2025-01-05,TV (Non-English),9,Love Is Blind: Germany,1300000.0,,
2025-01-05,TV (Non-English),10,Alice in Borderland,1200000.0,,
2024-12-29,Films (English),5,Blacklight,7600000.0,"undercover agent, hitman, blackmail, fbi, conspiracy, fixer",https://image.tmdb.org/t/p/w500/wX708rQubEh0lzHmL516ZdhXqAA.jpg
2024-12-29,Films (English),6,Godzilla x Kong: The New Empire,7400000.0,"giant monster, sequel, dinosaur, monkey, kaiju, fantasy world, giant ape, langue française, godzilla, king kong",https://image.tmdb.org/t/p/w500/z1p34vh7dEOnLDmyCrlUVLuoDzd.jpg
2024-12-29,Films (English),7,Our Little Secret,7000000.0,"holiday, christmas, absurd",https://image.tmdb.org/t/p/w500/u8knKeMHNsKnZqRsTplFPBez0yQ.jpg
2024-12-29,Films (English),8,How the Grinch Stole Christmas,6300000.0,"new love, based on novel or book, holiday, christmas party, village, santa claus, surrealism, thief, cynical, public humiliation, christmas, surreal world, absurd, hilarious, disgusted",https://image.tmdb.org/t/p/w500/7ir0iRuPK9OEuH569cp0nF5CJce.jpg
2024-12-29,Films (English),9,Beast (English),5900000.0,,
2024-12-29,Films (English),10,The Mountain Between Us,5700000.0,"based on novel or book, photographer, mountain, pilot, wilderness, survival, wildlife, snow, airplane crash, doctor, dog, struggle for survival, argument, freezing, stranger, injury, holiday season, american wilderness, hopelessness, valley, scenic, desolate wilderness, delayed flight, obstacles, romantic, exhilarated",https://image.tmdb.org/t/p/w500/3XNfYTW4XGscI81nXMSWGsQ8cpu.jpg
2024-12-29,Films (Non-English),4,Umjolo: Day Ones,2000000.0,,https://image.tmdb.org/t/p/w500/js1ApkcNejdJUIq0f3hpbGaYcyu.jpg
2024-12-29,Films (Non-English),5,Spy x Family Code: White,1600000.0,"espionage, spy, female assassin, based on manga, family, aftercreditsstinger, shounen, anime",https://image.tmdb.org/t/p/w500/xlIQf4y9eB14iYzNN142tROIWON.jpg
2024-12-29,Films (Non-English),8,Ferry,1400000.0,"drug dealer, drug crime, police, undercover, amsterdam, netherlands, gangster, criminal, criminal empire, drug",https://image.tmdb.org/t/p/w500/uT0CbPtySSNLNh6MvFkq3xwbRBR.jpg
2024-12-29,Films (Non-English),9,Amaran,1300000.0,,https://image.tmdb.org/t/p/w500/nv5DrlFpIYIPYhwvP2wg8VjdPwl.jpg
2024-12-29,Films (Non-English),10,Yo Yo Honey Singh: Famous,1100000.0,,https://image.tmdb.org/t/p/w500/t4LAe1fwWmLEO8MH8U56uICxxU.jpg
2024-12-29,TV (English),1,Christmas Gameday: Ravens vs. Texans,14400000.0,,
2024-12-29,TV (English),2,Christmas Gameday: Chiefs vs. Steelers,14300000.0,,
2024-12-29,TV (English),6,Fireplace for Your Home: Crackling Birchwood Fireplace,3600000.0,"christmas, screensaver",https://image.tmdb.org/t/p/w500/uV48XeuVjS9Tq1JwxG4a4i0izRH.jpg
2024-12-29,TV (English),9,Fireplace for Your Home: Classic Crackling Fireplace,1600000.0,,https://image.tmdb.org/t/p/w500/o8Ji0nHyOJ4YJO6FMcFet5k6Iup.jpg
2024-12-29,TV (Non-English),7,DAN DA DAN,1400000.0,"alien, based on manga, occult, edited from tv series, supernatural phenomena, shounen, anime, supernatural comedy, fantasy comedy, ghosts",https://image.tmdb.org/t/p/w500/6w8mKcd4p04QaQO0FlGpmhWbSAm.jpg
2024-12-29,TV (Non-English),8,Senna,1400000.0,"sports car, competition, champion, biography, rivalry, archive footage, teammate, driver, sports documentary, sport competition, talent competition, legacy, formula one (f1), motorsport, sportsman, documentary, car racing",https://image.tmdb.org/t/p/w500/nZbLCbRoP6iJq5sr8daHQzjnzFh.jpg
2024-12-29,TV (Non-English),9,1992,1200000.0,"looting, race politics, street riots, based on true story, racial tension, 1990s, los angeles riots, racial injustice",https://image.tmdb.org/t/p/w500/tPvFmQZM5HMspryyYbrtW02NR0G.jpg
2024-12-22,Films (English),5,Disaster Holiday,7500000.0,"workaholic, road trip, family vacation",https://image.tmdb.org/t/p/w500/pNZHImRQhSq5qEPSpDkmWLRB4RS.jpg
2024-12-22,Films (English),7,The Protege,6300000.0,"assassination, female assassin, mentor protégé relationship, master disciple relationship",https://image.tmdb.org/t/p/w500/iQUj7MptHUlcXpaMLrqRNZRxGA9.jpg
2024-12-22,Films (English),8,Terminator: Dark Fate,5800000.0,"helicopter, mexico city, mexico, artificial intelligence (a.i.), cyborg, dystopia, time travel, sequel, plane crash",https://image.tmdb.org/t/p/w500/vqzNJRH4YyquRiWxCCOH0aXggHI.jpg
